Date,ARKW,ARKG,ARKQ,ARKK,TSLA,3557.TW,8046.TW,3443.TW
2018/12/19,42.352695,23.870516,29.446062,37.319714,66.594002,21.4177,34.315266,176.078201
2018/12/20,41.131905,22.756306,28.829391,35.932575,63.076,21.355261,32.657993,177.513626
2018/12/21,39.544876,21.113321,28.260899,34.060886,63.953999,21.4177,33.584114,176.556686
2018/12/24,38.917046,21.151089,27.736727,33.57634,59.077999,21.4177,32.414272,177.035156
2018/12/26,41.384781,22.359724,28.993195,35.647549,65.218002,21.355261,33.437881,179.427521
2018/12/27,41.580246,22.249918,28.967419,35.694622,63.226002,21.4177,33.632858,180.862946
2018/12/28,41.471657,22.490719,29.244999,36.057449,66.774002,21.542585,33.779087,181.341415
2018/12/31,41.8764,23.097534,29.235085,36.469307,66.559998,21.480143,34.656467,179.427521
2019/1/2,41.91589,23.617662,29.307453,36.694851,62.023998,21.542585,35.826302,185.647675
2019/1/3,40.366009,23.319069,28.184248,35.488686,60.071999,21.542585,35.338871,191.389374
2019/1/4,42.903076,24.783133,29.473011,37.68528,63.537998,21.605028,34.315266,192.346313
2019/1/7,44.42334,26.314621,30.16696,39.322918,66.991997,21.605028,34.753956,194.738663
2019/1/8,44.916935,26.102718,30.444538,39.440594,67.07,21.542585,35.095154,189.475464
2019/1/9,45.736298,26.902174,31.098835,40.676174,67.706001,21.605028,35.095154,194.260193
2019/1/10,46.160786,27.075552,31.088921,40.882103,68.994003,21.542585,35.290131,193.781738
2019/1/11,46.28912,27.046654,31.079008,40.970364,69.452003,21.605028,35.777561,193.303268
2019/1/14,45.854759,26.353151,30.632896,40.234894,66.879997,21.792355,35.046413,189.475464
2019/1/15,46.733356,27.085182,31.37344,41.460674,68.886002,21.792355,36.313736,194.260193
2019/1/16,46.97028,27.287455,31.346674,41.490093,69.209999,21.605028,38.019753,184.690735
2019/1/17,47.483616,27.499357,31.445808,41.813694,69.461998,21.605028,37.142368,183.73378
2019/1/18,47.848877,27.769054,31.61434,41.970596,60.452,21.854797,37.191116,193.781738
2019/1/22,46.249634,26.786591,30.603157,40.313343,59.784,23.041201,36.654938,187.561569
2019/1/23,46.131172,26.20867,30.642811,39.911293,57.518002,23.228529,36.557453,187.561569
2019/1/24,47.217079,26.661375,31.211849,40.774239,58.301998,22.853874,37.337345,194.260193
2019/1/25,48.441185,27.150679,31.901833,41.745052,59.408001,23.166086,36.947399,213.399139
2019/1/28,47.532978,26.382046,31.316933,40.872299,59.276001,23.103642,35.92379,206.222031
2019/1/29,46.585278,26.083454,31.541969,40.45063,59.492001,23.103642,35.143898,206.222031
2019/1/30,48.016697,26.622845,32.268635,41.450867,61.754002,23.166086,35.875046,207.657455
2019/1/31,48.885418,27.181501,32.972496,42.215752,61.403999,23.228529,37.532318,200.001877
2019/2/1,48.924908,27.21714,33.041893,42.274586,62.442001,25.538893,36.801167,202.394241
2019/2/4,49.655422,27.508989,33.374989,42.951218,62.577999,28.036583,37.727295,200.480347
2019/2/5,50.030556,27.268188,33.805233,43.06889,64.269997,29.722527,37.191116,197.131042
2019/2/6,49.783756,27.316351,33.914284,43.108112,63.444,29.972294,36.849911,197.131042
2019/2/7,48.638622,26.574686,32.828751,41.666607,61.501999,29.660082,36.849911,190.432419
2019/2/8,48.974266,26.757694,32.989349,42.156918,61.16,29.909851,35.387615,197.609512
2019/2/11,49.013756,27.094814,33.359127,42.578579,62.568001,31.658236,35.777561,192.346313
2019/2/12,49.823246,27.489727,34.077858,43.392494,62.362,31.283583,35.387615,193.303268
2019/2/13,49.823246,27.682365,34.251347,43.676876,61.633999,30.846485,35.387615,194.738663
2019/2/14,49.892349,27.595678,34.252335,43.794552,60.754002,33.71883,35.972534,193.781738
2019/2/15,50.316837,27.946283,34.628063,44.314278,61.576,32.844639,36.313736,197.131042
2019/2/19,50.662354,27.980957,34.677628,44.3437,61.127998,32.844639,38.31221,196.652557
2019/2/20,50.356323,28.36624,34.816418,44.706532,60.512001,32.907082,38.897129,198.566452
2019/2/21,49.694912,27.923166,34.360394,43.833778,58.245998,32.157772,40.944347,201.915771
2019/2/22,51.057228,28.385502,34.806507,44.883041,58.942001,32.3451,41.09058,203.351196
2019/2/25,51.264538,29.377598,35.075165,45.491024,59.754002,32.095329,43.089054,199.523407
2019/2/26,50.889404,29.223486,34.895729,45.147808,59.571999,32.095329,42.260414,193.781738
2019/2/27,51.432354,30.032576,35.034519,45.814632,62.948002,33.71883,40.456917,192.824783
2019/2/28,51.274406,29.647295,34.975037,45.65773,63.976002,34.155926,42.894081,194.260193
2019/3/1,50.997997,30.899456,34.564617,45.893082,58.958,33.71883,44.648834,197.131042
2019/3/4,50.237862,30.620127,34.227554,45.334126,57.071999,33.219292,45.428726,196.652557
2019/3/5,50.563637,30.514175,34.230526,45.461609,55.307999,33.40662,43.868946,196.652557
2019/3/6,49.813374,29.329439,33.69619,44.480988,55.248001,33.344177,47.085999,216.269974
2019/3/7,49.191448,29.38723,32.635433,43.706295,55.318001,33.281734,47.963383,211.485245
2019/3/8,49.063114,29.454655,32.704834,43.990677,56.827999,32.844639,49.81562,219.140808
2019/3/11,50.672226,30.610495,33.527657,45.520443,58.183998,32.282658,45.379986,218.662338
2019/3/12,50.879536,30.947615,33.547485,45.647926,56.672001,32.032887,46.744797,212.4422
2019/3/13,51.234921,31.294369,33.775494,46.030369,57.792,31.470909,45.721188,208.61441
2019/3/14,50.731457,30.986141,33.7061,45.736179,57.992001,31.033812,45.185013,203.829666
2019/3/15,50.859791,31.583328,33.606968,46.079399,55.085999,32.469982,45.867416,207.178986
2019/3/18,50.899277,31.631487,33.676361,45.942108,53.897999,33.031967,46.793541,209.09288
2019/3/19,51.234921,31.650751,33.963852,46.069595,53.493999,33.031967,47.329712,209.57135
2019/3/20,51.313896,31.824127,33.953941,46.187263,54.720001,29.784966,46.939774,215.791504
2019/3/21,52.439285,32.450207,34.528927,47.13847,54.804001,26.850178,50.693001,227.274872
2019/3/22,50.691967,30.812765,33.334343,45.157616,52.905998,28.099026,52.447758,222.490128
2019/3/25,50.534016,30.88982,33.180683,45.059555,52.084,27.224833,49.32819,232.538086
2019/3/26,50.642609,31.063198,33.517746,45.25568,53.554001,28.099026,49.718136,228.231812
2019/3/27,49.941708,30.610495,33.180683,44.765369,54.966,28.723448,50.303055,231.102661
2019/3/28,50.484657,31.101727,33.438435,45.245869,55.723999,28.910774,47.475948,224.882492
2019/3/29,51.146076,31.670015,33.745754,45.824436,55.972,29.222986,44.258888,214.356094
2019/4/1,52.014793,31.785599,34.528927,46.510872,57.835999,29.972294,45.331242,217.226913
2019/4/2,52.123386,32.238304,34.691509,46.883507,57.175999,30.846485,45.331242,211.96373
2019/4/3,52.932877,32.951069,35.272446,47.834709,58.362,29.972294,45.721188,214.356094
2019/4/4,52.133259,32.662109,34.885811,47.197308,53.556,30.346949,42.699104,212.92067
2019/4/5,52.745316,33.268925,35.381489,47.962189,54.992001,29.722527,46.306107,208.135925
2019/4/8,52.903263,33.124447,35.331924,47.864128,54.639999,29.972294,47.475948,204.786621
2019/4/9,52.498516,32.585056,34.90564,47.364014,54.462002,29.098101,44.941292,195.217148
2019/4/10,53.061214,33.288193,35.242702,48.030838,55.212002,29.347872,44.161404,195.695618
2019/4/11,52.646599,32.71027,34.945297,47.41304,53.683998,29.472755,43.868946,199.044937
2019/4/12,52.607109,32.825855,35.094002,47.520912,53.540001,29.410313,42.406647,209.09288
2019/4/15,52.143131,32.440575,34.816418,47.020794,53.276001,29.660082,45.623699,212.92067
2019/4/16,52.656467,32.488735,35.163395,47.344398,54.672001,29.660082,43.868946,209.09288
2019/4/17,52.123386,30.803135,34.975037,46.138237,54.245998,29.722527,39.579533,203.829666
2019/4/18,51.955566,30.937983,35.01469,46.177464,54.652,30.596716,37.191116,204.786621
2019/4/22,52.350437,31.342527,34.826332,46.334358,52.549999,32.469982,37.044888,214.356094
2019/4/23,53.485703,31.958977,35.232788,47.491493,52.779999,31.470909,35.143898,209.09288
2019/4/24,52.932877,31.573692,35.222874,47.079632,51.731998,30.534273,31.926844,202.872726
2019/4/25,52.370182,31.756704,34.42979,46.657967,49.526001,31.22114,30.464544,204.308136
2019/4/26,52.281334,32.199772,34.211689,46.765835,47.028,31.783121,29.050989,207.178986
2019/4/29,52.666336,32.093822,34.360394,46.863895,48.293999,31.470909,29.587166,217.226913
2019/4/30,52.686081,31.506269,34.316776,46.304943,47.737999,30.908928,30.757004,210.528305
2019/5/1,52.616978,31.188416,34.023335,45.873466,46.801998,30.097178,31.195694,216.748444
2019/5/2,52.41954,31.352158,34.28109,46.09901,48.82,30.346949,31.878099,218.662338
2019/5/3,53.584419,32.180511,35.084084,47.452267,51.006001,30.971371,31.244436,214.748917
2019/5/6,53.564674,32.739166,34.747025,47.873936,51.068001,30.846485,31.731867,206.432907
2019/5/7,52.064159,31.40995,34.092728,46.383392,49.411999,30.596716,31.829357,204.965378
2019/5/8,52.103642,30.88982,33.56731,45.530251,48.967999,30.7216,30.757004,200.073593
2019/5/9,51.689026,30.658653,33.220333,45.138,48.396,30.908928,33.242908,205.454544
2019/5/10,51.767998,30.841661,33.299644,45.343933,47.903999,30.596716,36.557453,207.411255
2019/5/13,49.487602,29.011583,31.743216,42.843346,45.402,30.034737,36.801167,206.922073
2019/5/14,50.494534,29.628031,32.417339,43.667068,46.462002,30.15962,36.411224,203.008667
2019/5/15,51.323769,29.974783,32.56604,44.196606,46.389999,30.409389,35.582588,202.519485
2019/5/16,51.738384,30.437119,32.734573,44.402534,45.666,30.471832,36.021278,206.922073
2019/5/17,50.316837,29.897728,31.644081,43.108112,42.206001,30.034737,35.241386,206.922073
